page,issue_candidate,score,matched_patterns,review_text
24,seller_service,1,"khong ho tro","Không hỗ trợ nhiệt tình khi đổi size"
24,price_value,1,"khong dang tien","Chất liệu: nỉ bông Màu sắc: hồng trắng Đúng với mô tả: đúng Mỏng, lớp trong dễ xù. K đáng tiền lắm"
24,price_value,1,"khong dang tien","Đúng với mô tả: hong đúng Chất liệu: tệ Chất vải nóng siêu chán hong đáng tiền mín nào 🥲"
25,seller_service,1,"khong phan hoi","Shop không phản hồi thắc mắc của khách hàng !! Làm việc quá chán"
27,seller_service,1,"thai do","Shipper giao hàng thái độ thật sự, chửi khách như con đẻ ghéc :)"
29,price_value,1,"khong xung","Chất liệu: mỏng Màu sắc: in đc Không xứng đáng vs số tiền chỉ thừa còn rất nhìu đã vật may còn xứng 1 miếng của cái màu xanh trên áo kh hài lòng vs sản phẩm ạ"
30,wrong_missing_item,1,"giao sai","Giao sai hẹn"
30,packaging,1,"hop vo","Chất liệu: tạm Màu sắc: đen Đúng với mô tả: bình thường Lên mua size S Size M to lắm nha lên mua lùi về một size áo không được hợp với giá tiền cho mấy cũng k có giấy thơm 0:06"
34,price_value,1,"khong xung","Mình đã mua hàng ở đây rất nhiều lần từ cửa hàng đến trên shoppe nhưng mình thấy chất liệu vải ngày càng tệ ngày càng mỏng ko xứng đáng với số tiền (giá gốc) giá sale thì còn chấp nhận được chỉ còn tên thương hiệu thôi 0:06"
35,seller_service,1,"thai do","Chất liệu: tốt Màu sắc: đen Shipper kh thân thiện cho lắm mặc dù hàng tốt nhưng thái độ shipper thì kh hài lòng 0:19"
35,price_value,1,"khong xung","Chất liệu: vải mỏng không xứng đáng với giá tiền. :)❤"
36,price_value,1,"gia cao","Chất liệu: cotton Màu sắc: White Đúng với mô tả: Gần gần Ko như kì vọng gần 500k cái quần nhưng tệ thực sự ko dày cũng chả mỏng nhưng hình in lẫn chất lượng quần kém dễ nhăn hình cũng dễ nhăn vải form quần thi xấu cái này mình nói theo quan điểm của mình xấu rất xấu mình cao hơn m75 mặc size lớn nhất của shop vẫn thấy cộc form quần còn làm ngừoi mặc cảm giác lùn đi 10 tới 20cm mình thực sự k đánh giá cao sp này ai có ý định mua thử thì k nên. 0:06"
36,price_value,1,"khong dang tien","chất áo xấu quá thất vọng thật sự không đáng tiền luôn ấy hoàn hàng nhưng mà không đồng ý?? 0:26"
37,packaging,1,"hop vo","Chất liệu: Tệ Màu sắc: Tương Đối Đúng với mô tả: Áo mỏng Đây là lần đầu mình ủng hộ nhưng nhầm bom xịt nên cho mình đánh giá 3 sao cskh rất chu đáo nhưng vải áo quá mỏng k phù hợp với tầm giá 300-400 , cảm on8 shop , đây là quan điểm cá nhân 0:04"
38,seller_service,1,"khong tra loi","Mua về chỉ thừa tùm lum mặc được 2 hôm thì đã bị nhão cổ áo Nhắn tin shop hỏi size còn không trả lời"
39,price_value,1,"khong xung","Chất liệu: mỏng, không xứng với giá tiền mặc dù đã sale, chất khá thô không đc mịn. Màu sắc: khá oke Đúng với mô tả: form áo tạm ổn"
39,price_value,1,"khong xung","Chất vải ko đẹp so vs lần trước, vải mỏng cầm ko mát, áo quá rộng size s mà như bao. Cần cân nhác khi mua. Vs giá hơn 3trăm dù thì ko xứng đáng."
43,price_value,1,"khong xung","Không biết đợt trước mọi người mua như nào chứ đọc toàn thấy khen. Nhưng đợt này thật sự áo quá tệ, không xứng đáng với giá gần 500 ngàn tí nào. Vải thì thô, mặc vô thì dính lông đầy hết cái áo trắng, thật sự thất vọng ! 0:04"
45,wrong_missing_item,1,"dat size","Lưng áo rất ngắn mặc dù đặt size bự nhất"
47,price_value,1,"khong dang tien","Áo mỏng không đáng tiền. Với lại cũng ko cho vô nổi một cái giấy thơm gì nữa . Chất thì thua mấy cái 200k . Mong brand khắc phục:) 0:10"
48,wrong_missing_item,1,"dat mau","Vải không đẹp như các mẫu áo trước nha, buồn wa,.Lại đặt màu trắng nữa. Hay nhăn, form lên bth."
53,wrong_missing_item,2,"giao nham; shop giao nham","Shop giao nhầm hàng cho mmình vs lại giao cho mình áo rất rộng mặc lên tới đầu gói k thể nào mặc dc"
