review_id,review_text,sentiment_label,issue_label,is_multi_topic,secondary_issue,comment_type,processed_text
RV0017,"Không hài lòng vì giao sai size, phải mất công đổi trả.",Negative,wrong_item,no,,normal,không hài lòng vì giao sai size phải mất công đổi trả
RV0018,"Giao khá nhanh nhưng thiếu số lượng, shop xử lý đổi trả chậm. Mình ghi nhận như vậy.",Negative,wrong_item,yes,customer_service,mixed_topic,giao khá nhanh nhưng thiếu số lượng shop xử lý đổi trả chậm mình ghi nhận như vậy
RV0019,"Hàng chuẩn, rất đáng tiền, cửa hàng đổi trả rõ ràng nên mình hài lòng.",Positive,no_issue,no,,normal,hàng chuẩn rất đáng tiền cửa hàng đổi trả rõ ràng nên mình hài lòng
RV0020,"ốp điện thoại tạm dùng được nhưng giá tăng bất thường, đóng gói cũng sơ sài.",Negative,price,yes,packaging,mixed_topic,ốp điện thoại tạm dùng được nhưng giá tăng bất thường đóng gói cũng sơ sài
RV0021,ok Đây là trải nghiệm cá nhân.,Neutral,spam_or_irrelevant,no,,too_short,ok đây là trải nghiệm cá nhân
RV0022,Shop cần kiểm tra đơn kỹ hơn vì giao sai màu. Mình ghi nhận như vậy.,Negative,wrong_item,no,,normal,shop cần kiểm tra đơn kỹ hơn vì giao sai màu mình ghi nhận như vậy
RV0023,"Đơn giao hơi chậm, thêm nữa nhắn tin không ai trả lời nên mình không hài lòng.",Negative,customer_service,yes,delivery,mixed_topic,đơn giao hơi chậm thêm nữa nhắn tin không ai trả lời nên mình không hài lòng
RV0024,"Đơn đèn học giao quá chậm, hỏi thì không có cập nhật rõ.",Negative,delivery,no,,normal,đơn đèn học giao quá chậm hỏi thì không có cập nhật rõ
RV0025,"Vấn đề lớn nhất là hàng bị kẹt ở kho, mong shop cải thiện khâu giao hàng.",Negative,delivery,no,,normal,vấn đề lớn nhất là hàng bị kẹt ở kho mong shop cải thiện khâu giao hàng
RV0026,"Gói hàng ổn, ship khá nhanh, sản phẩm mùi dễ chịu. Hy vọng lần sau tốt hơn.",Positive,no_issue,no,,normal,gói hàng ổn ship khá nhanh sản phẩm mùi dễ chịu hy vọng lần sau tốt hơn
RV0027,"Shop giao rồi, chưa mở hộp.",Neutral,spam_or_irrelevant,no,,not_used,shop giao rồi chưa mở hộp
RV0028,"Mình cần dùng gấp mà hàng bị kẹt ở kho, trải nghiệm không tốt. Hy vọng lần sau tốt hơn.",Negative,delivery,no,,normal,mình cần dùng gấp mà hàng bị kẹt ở kho trải nghiệm không tốt hy vọng lần sau tốt hơn
RV0029,tai nghe nhìn ngoài được nhưng thực tế mùi rất khó chịu.,Negative,product_quality,no,,normal,tai nghe nhìn ngoài được nhưng thực tế mùi rất khó chịu
RV0030,ok Mình đánh giá theo đơn này.,Neutral,spam_or_irrelevant,no,,too_short,ok mình đánh giá theo đơn này
RV0031,"sạc dự phòng màu đẹp, ship khá nhanh, hộp còn nguyên.",Positive,no_issue,no,,normal,sạc dự phòng màu đẹp ship khá nhanh hộp còn nguyên
RV0032,"giày đẹp hơn mong đợi, giao đúng hẹn, giá cũng hợp lý.",Positive,no_issue,no,,normal,giày đẹp hơn mong đợi giao đúng hẹn giá cũng hợp lý
RV0033,"Shop tư vấn được nhưng bao bì rách, không xứng với giá. Mình ghi nhận như vậy.",Negative,packaging,yes,price,mixed_topic,shop tư vấn được nhưng bao bì rách không xứng với giá mình ghi nhận như vậy
RV0034,"Đã dùng vài ngày, đồng hồ dùng ổn, không có lỗi gì.",Positive,no_issue,no,,normal,đã dùng vài ngày đồng hồ dùng ổn không có lỗi gì
RV0035,"Nhận hàng xong mới thấy đèn học đường may xấu, không muốn mua lại.",Negative,product_quality,no,,normal,nhận hàng xong mới thấy đèn học đường may xấu không muốn mua lại
RV0036,Mua theo bạn nên chưa sử dụng. Mình ghi nhận như vậy.,Neutral,spam_or_irrelevant,no,,not_used,mua theo bạn nên chưa sử dụng mình ghi nhận như vậy
RV0037,"Hàng chuẩn, chất lượng tốt, bên bán đổi trả rõ ràng nên mình hài lòng.",Positive,no_issue,no,,normal,hàng chuẩn chất lượng tốt bên bán đổi trả rõ ràng nên mình hài lòng
RV0038,Sản phẩm bên trong tạm ổn nhưng không có chống sốc.,Negative,packaging,no,,normal,sản phẩm bên trong tạm ổn nhưng không có chống sốc
RV0039,Hàng không tệ nhưng giao quá chậm nên mình đánh giá thấp. Mình đánh giá theo đơn này.,Negative,delivery,no,,normal,hàng không tệ nhưng giao quá chậm nên mình đánh giá thấp mình đánh giá theo đơn này
RV0040,"Mình cần dùng gấp mà giao thiếu thông báo, trải nghiệm không tốt.",Negative,delivery,no,,normal,mình cần dùng gấp mà giao thiếu thông báo trải nghiệm không tốt
RV0041,Mình đặt tai nghe nhưng shop nhận nhầm đơn của người khác.,Negative,wrong_item,no,,normal,mình đặt tai nghe nhưng shop nhận nhầm đơn của người khác
RV0042,Có lỗi phát sinh nhưng bên bán thái độ phản hồi khó chịu.,Negative,customer_service,no,,normal,có lỗi phát sinh nhưng bên bán thái độ phản hồi khó chịu
RV0043,"Hàng chuẩn, chất lượng tốt, bên bán nhắn tin lịch sự nên mình hài lòng.",Positive,no_issue,no,,normal,hàng chuẩn chất lượng tốt bên bán nhắn tin lịch sự nên mình hài lòng
RV0044,chuột máy tính thì tạm ổn nhưng đơn hàng giao thiếu thông báo.,Negative,delivery,no,,normal,chuột máy tính thì tạm ổn nhưng đơn hàng giao thiếu thông báo
RV0045,"Hàng chuẩn, vải đẹp, shop shop tư vấn nhiệt tình nên mình hài lòng.",Positive,no_issue,no,,normal,hàng chuẩn vải đẹp shop shop tư vấn nhiệt tình nên mình hài lòng
RV0046,đèn học thì tạm ổn nhưng đơn hàng trễ hẹn nhiều ngày.,Negative,delivery,no,,normal,đèn học thì tạm ổn nhưng đơn hàng trễ hẹn nhiều ngày
RV0047,Với mức giá này thì giá tăng bất thường. Hy vọng lần sau tốt hơn.,Negative,price,no,,normal,với mức giá này thì giá tăng bất thường hy vọng lần sau tốt hơn
RV0048,Tạm Mình đánh giá theo đơn này.,Neutral,spam_or_irrelevant,no,,too_short,tạm mình đánh giá theo đơn này
RV0049,kem dưỡng dùng bình thường nhưng chất lượng chưa tương xứng với giá.,Negative,price,no,,normal,kem dưỡng dùng bình thường nhưng chất lượng chưa tương xứng với giá
RV0050,Hàng không tệ nhưng giao quá chậm nên mình đánh giá thấp. #656,Negative,delivery,no,,normal,hàng không tệ nhưng giao quá chậm nên mình đánh giá thấp 656
RV0051,Hàng không tệ nhưng giao quá chậm nên mình đánh giá thấp. #653,Negative,delivery,no,,normal,hàng không tệ nhưng giao quá chậm nên mình đánh giá thấp 653
RV0052,balo dùng bình thường nhưng vừa mua xong đã giảm giá mạnh.,Negative,price,no,,normal,balo dùng bình thường nhưng vừa mua xong đã giảm giá mạnh
RV0053,"Bao bì nhìn được nhưng sách dùng được một lúc là hỏng, mình vẫn phải đánh giá thấp.",Negative,product_quality,yes,packaging,mixed_topic,bao bì nhìn được nhưng sách dùng được một lúc là hỏng mình vẫn phải đánh giá thấp
RV0054,"Dùng thử nồi chiên thì thấy không giống mô tả, cần kiểm tra chất lượng kỹ hơn. Mình ghi nhận như vậy.",Negative,product_quality,no,,normal,dùng thử nồi chiên thì thấy không giống mô tả cần kiểm tra chất lượng kỹ hơn mình ghi nhận như vậy
RV0055,sách nhìn ngoài được nhưng thực tế mùi rất khó chịu.,Negative,product_quality,no,,normal,sách nhìn ngoài được nhưng thực tế mùi rất khó chịu
RV0056,bàn phím dùng bình thường nhưng phí ship cao.,Negative,price,no,,normal,bàn phím dùng bình thường nhưng phí ship cao
RV0057,"Không hài lòng vì giao hàng không đúng phân loại, phải mất công đổi trả.",Negative,wrong_item,no,,normal,không hài lòng vì giao hàng không đúng phân loại phải mất công đổi trả
RV0058,abc xyz nhận xu Hy vọng lần sau tốt hơn.,Neutral,spam_or_irrelevant,no,,spam_xu,abc xyz nhận xu hy vọng lần sau tốt hơn
RV0059,"đồng hồ đẹp hơn mong đợi, giao nhanh, giá cũng hợp lý.",Positive,no_issue,no,,normal,đồng hồ đẹp hơn mong đợi giao nhanh giá cũng hợp lý
RV0060,"Đã dùng vài ngày, ốp điện thoại hoạt động tốt, không có lỗi gì.",Positive,no_issue,no,,normal,đã dùng vài ngày ốp điện thoại hoạt động tốt không có lỗi gì
RV0061,"máy xay xài mượt, giao đúng hẹn, niêm phong kỹ.",Positive,no_issue,no,,normal,máy xay xài mượt giao đúng hẹn niêm phong kỹ
RV0062,"Đã dùng vài ngày, đồng hồ vải đẹp, không có lỗi gì.",Positive,no_issue,no,,normal,đã dùng vài ngày đồng hồ vải đẹp không có lỗi gì
RV0063,"Mình mua balo, thấy xài mượt, bên bán nhắn tin lịch sự.",Positive,no_issue,no,,normal,mình mua balo thấy xài mượt bên bán nhắn tin lịch sự
RV0064,"thiếu số lượng, bao bì lại còn bị rách. Hy vọng lần sau tốt hơn.",Negative,wrong_item,yes,packaging,mixed_topic,thiếu số lượng bao bì lại còn bị rách hy vọng lần sau tốt hơn
RV0065,Với mức giá này thì giá tăng bất thường. Mình đánh giá theo đơn này.,Negative,price,no,,normal,với mức giá này thì giá tăng bất thường mình đánh giá theo đơn này
RV0066,"Mình mua ốp điện thoại, thấy rất đáng tiền, shop đổi trả rõ ràng.",Positive,no_issue,no,,normal,mình mua ốp điện thoại thấy rất đáng tiền shop đổi trả rõ ràng
RV0067,"Đã dùng vài ngày, sách hoạt động tốt, không có lỗi gì.",Positive,no_issue,no,,normal,đã dùng vài ngày sách hoạt động tốt không có lỗi gì
RV0068,"Đơn giày vận chuyển chậm hơn dự kiến, hỏi thì không có cập nhật rõ.",Negative,delivery,no,,normal,đơn giày vận chuyển chậm hơn dự kiến hỏi thì không có cập nhật rõ
RV0069,"Shop giao rồi, chưa mở hộp. #1096",Neutral,spam_or_irrelevant,no,,not_used,shop giao rồi chưa mở hộp 1096
RV0070,"Rất thích bàn phím, hoạt động tốt, phù hợp với nhu cầu.",Positive,no_issue,no,,normal,rất thích bàn phím hoạt động tốt phù hợp với nhu cầu
RV0071,"Gói hàng ổn, giao đúng hẹn, sản phẩm vải đẹp.",Positive,no_issue,no,,normal,gói hàng ổn giao đúng hẹn sản phẩm vải đẹp
RV0072,ok Hy vọng lần sau tốt hơn.,Neutral,spam_or_irrelevant,no,,too_short,ok hy vọng lần sau tốt hơn
RV0073,"Đơn kem dưỡng trễ hẹn nhiều ngày, hỏi thì không có cập nhật rõ.",Negative,delivery,no,,normal,đơn kem dưỡng trễ hẹn nhiều ngày hỏi thì không có cập nhật rõ
RV0074,"Hàng đúng loại nhưng hộp ướt, làm mình lo sản phẩm bị hỏng.",Negative,packaging,yes,no_issue,mixed_topic,hàng đúng loại nhưng hộp ướt làm mình lo sản phẩm bị hỏng
RV0075,"đặt mẫu khác nhưng nhận mẫu này, không đúng với lựa chọn ban đầu. Hy vọng lần sau tốt hơn.",Negative,wrong_item,no,,normal,đặt mẫu khác nhưng nhận mẫu này không đúng với lựa chọn ban đầu hy vọng lần sau tốt hơn
RV0076,"Mình hỏi về bình nước mà xử lý khiếu nại lâu, rất mất thời gian.",Negative,customer_service,no,,normal,mình hỏi về bình nước mà xử lý khiếu nại lâu rất mất thời gian
RV0077,"Bao bì nhìn được nhưng kem dưỡng âm thanh rè, mình vẫn phải đánh giá thấp.",Negative,product_quality,yes,packaging,mixed_topic,bao bì nhìn được nhưng kem dưỡng âm thanh rè mình vẫn phải đánh giá thấp
RV0078,"Không hài lòng vì đặt mẫu khác nhưng nhận mẫu này, phải mất công đổi trả. Mình ghi nhận như vậy.",Negative,wrong_item,no,,normal,không hài lòng vì đặt mẫu khác nhưng nhận mẫu này phải mất công đổi trả mình ghi nhận như vậy
RV0079,Hàng không tệ nhưng giao quá chậm nên mình đánh giá thấp. #631,Negative,delivery,no,,normal,hàng không tệ nhưng giao quá chậm nên mình đánh giá thấp 631
RV0080,Không có gì để nhận xét. Hy vọng lần sau tốt hơn.,Neutral,spam_or_irrelevant,no,,irrelevant,không có gì để nhận xét hy vọng lần sau tốt hơn
RV0081,"Mình mua khăn tắm, thấy hoạt động tốt, người bán nhắn tin lịch sự.",Positive,no_issue,no,,normal,mình mua khăn tắm thấy hoạt động tốt người bán nhắn tin lịch sự
RV0082,"thiếu số lượng, không đúng với lựa chọn ban đầu. Đây là trải nghiệm cá nhân.",Negative,wrong_item,no,,normal,thiếu số lượng không đúng với lựa chọn ban đầu đây là trải nghiệm cá nhân
RV0083,bàn phím nhìn ngoài được nhưng thực tế mùi rất khó chịu.,Negative,product_quality,no,,normal,bàn phím nhìn ngoài được nhưng thực tế mùi rất khó chịu
RV0084,Đơn này bị lỗi phân loại: đặt mẫu khác nhưng nhận mẫu này. Hy vọng lần sau tốt hơn.,Negative,wrong_item,no,,normal,đơn này bị lỗi phân loại đặt mẫu khác nhưng nhận mẫu này hy vọng lần sau tốt hơn
RV0085,"mũ bảo hiểm đẹp hơn mong đợi, nhận hàng sớm, giá cũng hợp lý.",Positive,no_issue,no,,normal,mũ bảo hiểm đẹp hơn mong đợi nhận hàng sớm giá cũng hợp lý
RV0086,"Đã dùng vài ngày, sạc dự phòng hoạt động tốt, không có lỗi gì.",Positive,no_issue,no,,normal,đã dùng vài ngày sạc dự phòng hoạt động tốt không có lỗi gì
RV0087,quần jean nhìn ngoài được nhưng thực tế dùng được một lúc là hỏng.,Negative,product_quality,no,,normal,quần jean nhìn ngoài được nhưng thực tế dùng được một lúc là hỏng
RV0088,"bình nước chắc chắn, giao nhanh, bọc chống sốc tốt.",Positive,no_issue,no,,normal,bình nước chắc chắn giao nhanh bọc chống sốc tốt
RV0089,"sạc dự phòng dùng ổn nhưng đợi rất lâu mới nhận được, trải nghiệm mua hàng bị ảnh hưởng.",Negative,delivery,yes,no_issue,mixed_topic,sạc dự phòng dùng ổn nhưng đợi rất lâu mới nhận được trải nghiệm mua hàng bị ảnh hưởng
RV0090,Mình không hài lòng vì tem niêm phong bị bung khi nhận hàng. Hy vọng lần sau tốt hơn.,Negative,packaging,no,,normal,mình không hài lòng vì tem niêm phong bị bung khi nhận hàng hy vọng lần sau tốt hơn
RV0091,Sản phẩm có vấn đề nhưng không hỗ trợ đổi trả.,Negative,customer_service,no,,normal,sản phẩm có vấn đề nhưng không hỗ trợ đổi trả
RV0092,"Vấn đề lớn nhất là hàng bị kẹt ở kho, mong shop cải thiện khâu giao hàng. Mình ghi nhận như vậy.",Negative,delivery,no,,normal,vấn đề lớn nhất là hàng bị kẹt ở kho mong shop cải thiện khâu giao hàng mình ghi nhận như vậy
RV0093,Chưa dùng nên chưa biết chất lượng thế nào. Mình ghi nhận như vậy.,Neutral,spam_or_irrelevant,no,,not_used,chưa dùng nên chưa biết chất lượng thế nào mình ghi nhận như vậy
RV0094,"Cảm giác không đáng tiền, giá trị nhận lại chưa ổn.",Negative,price,no,,normal,cảm giác không đáng tiền giá trị nhận lại chưa ổn
RV0095,tai nghe thì tạm ổn nhưng đơn hàng giao quá chậm.,Negative,delivery,no,,normal,tai nghe thì tạm ổn nhưng đơn hàng giao quá chậm
RV0096,"Nhận hàng xong mới thấy nồi chiên mùi rất khó chịu, không muốn mua lại.",Negative,product_quality,no,,normal,nhận hàng xong mới thấy nồi chiên mùi rất khó chịu không muốn mua lại
RV0097,"quần jean dùng ổn nhưng mã vận đơn cập nhật sai, trải nghiệm mua hàng bị ảnh hưởng.",Negative,delivery,yes,no_issue,mixed_topic,quần jean dùng ổn nhưng mã vận đơn cập nhật sai trải nghiệm mua hàng bị ảnh hưởng
RV0098,"Sản phẩm pin tụt nhanh, khác xa kỳ vọng.",Negative,product_quality,no,,normal,sản phẩm pin tụt nhanh khác xa kỳ vọng
RV0099,"Sản phẩm mùi dễ chịu, hộp còn nguyên, lần sau sẽ ủng hộ tiếp. Đây là trải nghiệm cá nhân.",Positive,no_issue,no,,normal,sản phẩm mùi dễ chịu hộp còn nguyên lần sau sẽ ủng hộ tiếp đây là trải nghiệm cá nhân
RV0100,"Vấn đề lớn nhất là giao quá chậm, mong shop cải thiện khâu giao hàng. Mình ghi nhận như vậy.",Negative,delivery,no,,normal,vấn đề lớn nhất là giao quá chậm mong shop cải thiện khâu giao hàng mình ghi nhận như vậy
RV0101,mũ bảo hiểm thì tạm ổn nhưng đơn hàng vận chuyển chậm hơn dự kiến.,Negative,delivery,no,,normal,mũ bảo hiểm thì tạm ổn nhưng đơn hàng vận chuyển chậm hơn dự kiến
RV0102,"sách mùi dễ chịu nhưng hàng bị kẹt ở kho, hộp cũng hơi móp.",Negative,delivery,yes,packaging,mixed_topic,sách mùi dễ chịu nhưng hàng bị kẹt ở kho hộp cũng hơi móp
RV0103,Đánh giá để nhận xu thôi.,Neutral,spam_or_irrelevant,no,,spam_xu,đánh giá để nhận xu thôi
RV0104,Đánh giá để nhận xu thôi. Mình ghi nhận như vậy.,Neutral,spam_or_irrelevant,no,,spam_xu,đánh giá để nhận xu thôi mình ghi nhận như vậy
RV0105,"Sản phẩm hoạt động tốt, bao bì sạch sẽ, lần sau sẽ ủng hộ tiếp.",Positive,no_issue,no,,normal,sản phẩm hoạt động tốt bao bì sạch sẽ lần sau sẽ ủng hộ tiếp
RV0106,"Dùng thử đồng hồ thì thấy dùng được một lúc là hỏng, cần kiểm tra chất lượng kỹ hơn.",Negative,product_quality,no,,normal,dùng thử đồng hồ thì thấy dùng được một lúc là hỏng cần kiểm tra chất lượng kỹ hơn
RV0107,"Nhận hàng xong mới thấy quần jean dùng được một lúc là hỏng, không muốn mua lại.",Negative,product_quality,no,,normal,nhận hàng xong mới thấy quần jean dùng được một lúc là hỏng không muốn mua lại
RV0108,"Hàng gì cũng được, cần xu. #1087",Neutral,spam_or_irrelevant,no,,spam_xu,hàng gì cũng được cần xu 1087
RV0109,"Sản phẩm dùng được một lúc là hỏng, khác xa kỳ vọng.",Negative,product_quality,no,,normal,sản phẩm dùng được một lúc là hỏng khác xa kỳ vọng
RV0110,Hàng không tệ nhưng giao quá chậm nên mình đánh giá thấp. Mình ghi nhận như vậy.,Negative,delivery,no,,normal,hàng không tệ nhưng giao quá chậm nên mình đánh giá thấp mình ghi nhận như vậy
RV0111,"Hàng chuẩn, mùi dễ chịu, người bán shop tư vấn nhiệt tình nên mình hài lòng.",Positive,no_issue,no,,normal,hàng chuẩn mùi dễ chịu người bán shop tư vấn nhiệt tình nên mình hài lòng
RV0112,"Mình thấy vừa mua xong đã giảm giá mạnh, nên chưa muốn mua lại.",Negative,price,no,,normal,mình thấy vừa mua xong đã giảm giá mạnh nên chưa muốn mua lại
RV0113,"Gói hàng ổn, đóng đơn nhanh, sản phẩm xài mượt.",Positive,no_issue,no,,normal,gói hàng ổn đóng đơn nhanh sản phẩm xài mượt
RV0114,"sạc dự phòng dùng được nhưng bao bì rách, giao hàng cũng hơi lâu.",Negative,packaging,yes,delivery,mixed_topic,sạc dự phòng dùng được nhưng bao bì rách giao hàng cũng hơi lâu
RV0115,"Giao khá nhanh nhưng giao hàng không đúng phân loại, shop xử lý đổi trả chậm.",Negative,wrong_item,yes,customer_service,mixed_topic,giao khá nhanh nhưng giao hàng không đúng phân loại shop xử lý đổi trả chậm
RV0116,"Giao khá nhanh nhưng nhận nhầm đơn của người khác, shop xử lý đổi trả chậm.",Negative,wrong_item,yes,customer_service,mixed_topic,giao khá nhanh nhưng nhận nhầm đơn của người khác shop xử lý đổi trả chậm
RV0117,"Shop phản hồi được nhưng chất lượng chưa tương xứng với giá, mình thấy chưa đáng mua lại. Mình ghi nhận như vậy.",Negative,price,yes,customer_service,mixed_topic,shop phản hồi được nhưng chất lượng chưa tương xứng với giá mình thấy chưa đáng mua lại mình ghi nhận như vậy
RV0118,"Sản phẩm màu đẹp, bọc chống sốc tốt, lần sau sẽ ủng hộ tiếp.",Positive,no_issue,no,,normal,sản phẩm màu đẹp bọc chống sốc tốt lần sau sẽ ủng hộ tiếp
RV0119,"đồng hồ xài mượt nhưng vận chuyển chậm hơn dự kiến, hộp cũng hơi móp.",Negative,delivery,yes,packaging,mixed_topic,đồng hồ xài mượt nhưng vận chuyển chậm hơn dự kiến hộp cũng hơi móp
RV0120,kem dưỡng dùng bình thường nhưng mua sale nhưng vẫn đắt.,Negative,price,no,,normal,kem dưỡng dùng bình thường nhưng mua sale nhưng vẫn đắt
RV0121,"Dùng thử kem dưỡng thì thấy bị lỗi, cần kiểm tra chất lượng kỹ hơn.",Negative,product_quality,no,,normal,dùng thử kem dưỡng thì thấy bị lỗi cần kiểm tra chất lượng kỹ hơn
RV0122,Mình không hài lòng vì gói hàng nhìn rất cũ khi nhận hàng.,Negative,packaging,no,,normal,mình không hài lòng vì gói hàng nhìn rất cũ khi nhận hàng
RV0123,"Sản phẩm màu đẹp, bao bì sạch sẽ, lần sau sẽ ủng hộ tiếp. Mình ghi nhận như vậy.",Positive,no_issue,no,,normal,sản phẩm màu đẹp bao bì sạch sẽ lần sau sẽ ủng hộ tiếp mình ghi nhận như vậy
RV0124,"Dùng thử bình nước thì thấy âm thanh rè, cần kiểm tra chất lượng kỹ hơn.",Negative,product_quality,no,,normal,dùng thử bình nước thì thấy âm thanh rè cần kiểm tra chất lượng kỹ hơn
RV0125,"váy đẹp hơn mong đợi, giao đúng hẹn, giá cũng hợp lý.",Positive,no_issue,no,,normal,váy đẹp hơn mong đợi giao đúng hẹn giá cũng hợp lý
RV0126,"sách bị lỗi nhẹ, nhưng vấn đề chính là shop trả lời rất chậm.",Negative,customer_service,yes,product_quality,mixed_topic,sách bị lỗi nhẹ nhưng vấn đề chính là shop trả lời rất chậm
RV0127,"Khâu đóng gói kém, tem niêm phong bị bung. Mình ghi nhận như vậy.",Negative,packaging,no,,normal,khâu đóng gói kém tem niêm phong bị bung mình ghi nhận như vậy
RV0128,"Mình muốn đổi size nhưng nhắn tin không ai trả lời, trải nghiệm rất tệ.",Negative,customer_service,yes,wrong_item,mixed_topic,mình muốn đổi size nhưng nhắn tin không ai trả lời trải nghiệm rất tệ
RV0129,"ốp điện thoại mùi dễ chịu, đóng đơn nhanh, đóng gói cẩn thận.",Positive,no_issue,no,,normal,ốp điện thoại mùi dễ chịu đóng đơn nhanh đóng gói cẩn thận
RV0130,"sách đẹp hơn mong đợi, nhận hàng sớm, giá cũng hợp lý.",Positive,no_issue,no,,normal,sách đẹp hơn mong đợi nhận hàng sớm giá cũng hợp lý
RV0131,Không biết viết gì. Hy vọng lần sau tốt hơn.,Neutral,spam_or_irrelevant,no,,irrelevant,không biết viết gì hy vọng lần sau tốt hơn
RV0132,good good good xu xu xu Mình ghi nhận như vậy.,Neutral,spam_or_irrelevant,no,,spam_xu,good good good xu xu xu mình ghi nhận như vậy
RV0133,Bình luận cho đủ ký tự nhận điểm. Đây là trải nghiệm cá nhân.,Neutral,spam_or_irrelevant,no,,spam_xu,bình luận cho đủ ký tự nhận điểm đây là trải nghiệm cá nhân
RV0134,"bàn phím dùng ổn, giao đúng hẹn, đóng gói cẩn thận.",Positive,no_issue,no,,normal,bàn phím dùng ổn giao đúng hẹn đóng gói cẩn thận
RV0135,"Gói hàng ổn, ship khá nhanh, sản phẩm dùng ổn. Mình ghi nhận như vậy.",Positive,no_issue,no,,normal,gói hàng ổn ship khá nhanh sản phẩm dùng ổn mình ghi nhận như vậy
RV0136,"Mình thấy không đáng tiền, nên chưa muốn mua lại.",Negative,price,no,,normal,mình thấy không đáng tiền nên chưa muốn mua lại
RV0137,"Khâu đóng gói kém, hộp ướt. Hy vọng lần sau tốt hơn.",Negative,packaging,no,,normal,khâu đóng gói kém hộp ướt hy vọng lần sau tốt hơn
RV0138,balo nhìn ngoài được nhưng thực tế màu bị phai.,Negative,product_quality,no,,normal,balo nhìn ngoài được nhưng thực tế màu bị phai
RV0139,"Nhận hàng xong mới thấy máy xay không hoạt động, không muốn mua lại.",Negative,product_quality,no,,normal,nhận hàng xong mới thấy máy xay không hoạt động không muốn mua lại
RV0140,"sạc dự phòng đẹp hơn mong đợi, nhận hàng sớm, giá cũng hợp lý.",Positive,no_issue,no,,normal,sạc dự phòng đẹp hơn mong đợi nhận hàng sớm giá cũng hợp lý
RV0141,đèn học thì tạm ổn nhưng đơn hàng hàng bị kẹt ở kho.,Negative,delivery,no,,normal,đèn học thì tạm ổn nhưng đơn hàng hàng bị kẹt ở kho
RV0142,sạc dự phòng thì tạm ổn nhưng đơn hàng giao thiếu thông báo. Mình ghi nhận như vậy.,Negative,delivery,no,,normal,sạc dự phòng thì tạm ổn nhưng đơn hàng giao thiếu thông báo mình ghi nhận như vậy
RV0143,bàn phím nhìn ngoài được nhưng thực tế chất lượng kém.,Negative,product_quality,no,,normal,bàn phím nhìn ngoài được nhưng thực tế chất lượng kém
